"","date","E2","E5","E1","E3","P1","P3","P4","P6","P7","P8","P9","P2","E4","P5"
"33",2019-10-02 08:00:00,4,4,7.4,7.7,1.14033333333333,0.297241379310345,0.981666666666667,3.651,0.522758620689655,0.194444444444444,0.336296296296296,1.434,NA,NA
"34",2019-10-02 09:00:00,8.2,8.2,5.3,4.6,1.134,0.709333333333333,0.833,4.05566666666667,1.08,0.23625,0.502333333333333,1.52066666666667,NA,NA
"35",2019-10-02 10:00:00,8.3,10.2,7.7,4.6,2.604,1.42133333333333,1.254,3.26366666666667,0.442666666666667,0.159047619047619,1.08833333333333,1.985625,NA,NA
"36",2019-10-02 11:00:00,11.6,10.7,10,12.3,1.128,0.48,0.787333333333333,2.92866666666667,0.5456,0.217692307692308,1.373,3.19033333333333,NA,NA
"37",2019-10-02 12:00:00,6.2,3.7,12.6,15.9,0.968,0.598846153846154,1.06966666666667,8.84290322580645,1.16,0.097,0.777142857142857,1.95806451612903,NA,NA
"38",2019-10-02 13:00:00,9,6.6,12,4,0.897826086956522,0.1335,0.921666666666667,2.383,0.563684210526316,0.103333333333333,0.636333333333333,1.851,NA,NA
"39",2019-10-02 14:00:00,6.5,5.1,11.9,0.6,0.708181818181818,0.396551724137931,8.64966666666667,1.85833333333333,0.172631578947368,0.1525,0.54962962962963,1.38333333333333,NA,NA
"40",2019-10-02 15:00:00,5.2,5.1,6.3,4.5,0.194545454545455,0.326333333333333,3.744,1.326,0.173913043478261,0.222857142857143,0.536333333333333,0.572,NA,NA
"41",2019-10-02 16:00:00,9.6,7.7,11.7,0.6,0.204615384615385,0.686,2.405,1.84266666666667,0.427931034482759,0.133928571428571,1.41333333333333,1.158,NA,NA
"42",2019-10-02 17:00:00,7.2,7.6,6.6,3.3,0.776333333333333,1.29166666666667,1.91533333333333,2.43266666666667,0.739333333333333,0.198571428571429,3.02266666666667,3.524,NA,NA
"43",2019-10-02 18:00:00,7.8,7.7,8.8,2.1,1.245,2.22633333333333,2.644,2.821,1.54733333333333,0.526744186046512,2.59733333333333,3.12966666666667,NA,NA
"44",2019-10-02 19:00:00,2.9,10.7,10,5.5,1.28666666666667,2.36366666666667,2.81833333333333,2.96433333333333,1.87066666666667,1.09081081081081,2.024,2.432,NA,NA
"45",2019-10-02 20:00:00,6.3,11.2,11.9,4.9,0.905333333333333,1.65866666666667,2.92066666666667,2.902,2.08866666666667,0.724042553191489,2.642,5.342,NA,NA
"46",2019-10-02 21:00:00,2.8,11.7,6.2,4.8,0.791666666666667,2.16433333333333,2.334,2.36266666666667,2.59,1.23863636363636,2.27233333333333,4.49633333333333,NA,NA
"47",2019-10-02 22:00:00,9.7,8.4,6.2,4.8,1.364,2.197,3.57333333333333,3.19733333333333,2.93866666666667,1.59854166666667,3.285,3.89466666666667,NA,NA
"48",2019-10-02 23:00:00,4.8,3.3,8,2.3,2.317,3.675,5.604,3.856,2.85133333333333,1.5188,2.088,2.09133333333333,NA,NA
"49",2019-10-03 00:00:00,5,4,8.4,7.8,4.219,3.09333333333333,6.12466666666667,5.00233333333333,2.4625,2.44886363636364,0.260454545454545,0.664827586206897,NA,NA
"50",2019-10-03 01:00:00,10.6,10,10.4,4.3,5.27833333333333,2.128,5.87193548387097,8.108,1.69870967741935,2.46266666666667,0.549285714285714,0.461666666666667,NA,NA
"51",2019-10-03 02:00:00,0.7,9.1,9.3,1.3,4.832,1.491,4.74266666666667,3.26366666666667,1.02736842105263,0.806,1.49607142857143,2.19870967741935,NA,NA
"52",2019-10-03 03:00:00,6.3,6.2,20.2,2.7,2.868,1.87566666666667,4.937,6.12166666666667,1.2453125,0.121538461538462,2.51,3.33933333333333,NA,NA
"53",2019-10-03 04:00:00,5.3,9.5,0,7.8,0.9175,1.56964285714286,3.02166666666667,3.79689655172414,1.19233333333333,0.12,2.24965517241379,2.897,NA,NA
"54",2019-10-03 05:00:00,8.4,11.4,1.5,9,0.445666666666667,1.19074074074074,2.89566666666667,3.21375,0.434827586206897,NA,1.12607142857143,1.43384615384615,NA,NA
"55",2019-10-03 06:00:00,7.3,7.6,4.8,9.6,0.469333333333333,0.957083333333333,1.76766666666667,3.61533333333333,0.11,0.135,2.90233333333333,4.56233333333333,NA,NA
"56",2019-10-03 07:00:00,5.5,12.5,7,9,0.541,1.60366666666667,2.12533333333333,4.23,0.0914285714285714,0.46,4.17266666666667,6.61333333333333,NA,NA
"57",2019-10-03 08:00:00,4.6,8.7,6.6,5,0.662666666666667,3.521,4.40033333333333,3.65848484848485,0.734,0.32741935483871,7.55833333333333,9.26433333333333,NA,NA
"58",2019-10-03 09:00:00,9,6.6,5,7.4,0.152631578947368,2.109,2.66866666666667,2.68833333333333,0.828666666666667,0.606136363636364,10.1996666666667,11.5166666666667,NA,NA
"59",2019-10-03 10:00:00,7.6,10,5.8,7.5,0.458421052631579,5.96566666666667,4.87466666666667,6.64933333333333,1.655,0.841086956521739,4.41066666666667,5.06633333333333,NA,NA
"60",2019-10-03 11:00:00,4.5,7.9,5,3.3,1.496,5.00733333333333,3.57933333333333,2.07636363636364,2.391,2.36770833333333,4.555,6.54129032258064,NA,NA
"61",2019-10-03 12:00:00,5.2,10.4,9,2.8,1.60566666666667,2.55766666666667,2.318,3.858,2.199,1.70875,2.59933333333333,4.13633333333333,NA,NA
"62",2019-10-03 13:00:00,7,7.9,6,10.2,4.19566666666667,2.42666666666667,3.03766666666667,2.32647058823529,1.27233333333333,0.725526315789474,2.01366666666667,4.23266666666667,NA,NA
"63",2019-10-03 14:00:00,9.7,4.1,5.4,3.9,2.85566666666667,3.432,2.744,2.47666666666667,0.4975,0.299285714285714,2.69866666666667,4.13933333333333,NA,NA
"64",2019-10-03 15:00:00,6.6,4.9,7.4,3.5,0.627777777777778,0.563666666666667,0.448461538461538,1.40184210526316,0.288823529411765,0.347142857142857,0.694666666666667,2.19838709677419,NA,NA
"65",2019-10-03 16:00:00,4.7,4.8,3.8,1.7,0.472380952380952,0.298333333333333,0.265185185185185,0.363428571428571,0.277368421052632,0.146,0.586333333333333,1.86838709677419,NA,NA
"66",2019-10-03 17:00:00,2.8,4.3,7,1.6,0.431333333333333,0.697333333333333,0.346206896551724,1.12368421052632,0.304,0.129,0.706333333333333,2.44433333333333,NA,NA
"67",2019-10-03 18:00:00,6.8,4.8,5,3.6,0.344,0.826666666666667,0.601333333333333,0.751,0.310333333333333,0.173125,0.966333333333333,2.86166666666667,NA,NA
"68",2019-10-03 19:00:00,4.9,8.6,6,9.3,0.271851851851852,0.473333333333333,0.529666666666667,0.62,0.469666666666667,0.252608695652174,0.923,2.677,NA,NA
"69",2019-10-03 20:00:00,3.4,7.9,7.6,9.6,0.553333333333333,0.821,1.016,0.9335,0.958666666666667,0.3885,1.07033333333333,4.69733333333333,NA,NA
"70",2019-10-03 21:00:00,1.5,5.5,9.6,6.5,0.454,0.858666666666667,0.879,0.865454545454545,1.48633333333333,0.357666666666667,1.18266666666667,3.611,NA,NA
"71",2019-10-03 22:00:00,2.3,8.3,8.8,8.7,0.339285714285714,0.705666666666667,0.575,0.691578947368421,0.913666666666667,0.136153846153846,1.369,2.91666666666667,NA,NA
"72",2019-10-03 23:00:00,6.1,4.8,9.2,8.2,0.271034482758621,0.539333333333333,0.285333333333333,0.869354838709677,0.801666666666667,0.154230769230769,1.467,5.44233333333333,NA,NA
"73",2019-10-04 00:00:00,9.9,8.1,7.4,3.6,0.558333333333333,0.780666666666667,0.725666666666667,1.00102564102564,1.90290322580645,0.264444444444444,1.37433333333333,6.25107142857143,NA,NA
"74",2019-10-04 01:00:00,7.8,5.6,9,6.8,1.17933333333333,1.44,0.747,1.12631578947368,1.68366666666667,0.302093023255814,2.346,2.64066666666667,NA,NA
"75",2019-10-04 02:00:00,5.7,4.5,7,2.4,1.002,1.60433333333333,0.901666666666667,1.59,2.345625,0.541063829787234,2.14333333333333,2.317,NA,NA
"76",2019-10-04 03:00:00,4.2,1.9,5.6,6.4,1.895,1.52066666666667,1.476,1.60066666666667,1.86733333333333,0.7895,2.80535714285714,2.5290625,NA,NA
"77",2019-10-04 04:00:00,1.7,8.5,5.8,4.3,1.47366666666667,1.58566666666667,1.643,1.703,1.08366666666667,0.8334,2.66793103448276,2.29066666666667,NA,NA
"78",2019-10-04 05:00:00,2.2,5.5,4.8,2.1,1.38533333333333,1.11,1.59233333333333,1.91033333333333,0.988333333333333,0.6425,1.74,2.95033333333333,NA,NA
"79",2019-10-04 06:00:00,2.1,7.9,7.8,7.9,0.996,0.725666666666667,1.10333333333333,1.51466666666667,0.658333333333333,0.225454545454545,1.562,2.42933333333333,NA,NA
"80",2019-10-04 07:00:00,6.5,2.2,6.8,6.9,0.477666666666667,0.227333333333333,0.437666666666667,1.218,0.280740740740741,0.124736842105263,0.404666666666667,0.663333333333333,NA,NA
